Stuart Ramsay witnesses a Taliban�,Sno.,Author_ID,ID,Text,Like Count,Reply Count,Retweet Count,NewFinal,Comments
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
54,187,782502,1.39E+18,"President Biden and all those who supported the troop withdrawal from Afghanistan are responsible for the death of school girls. When the US goes into a foreign country, they break it and they own it (Paraphrasing Colin Powell) #ProtectTheWomenAndGirlsOfAfghanistan #NoCutAndRun",1,4,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
59,226,1490069496,1.40E+18,"“What’s encouraging is that people like Tseng and Brose are taking their frustration with the human cost of the wars in Iraq &amp; Afghanistan and turning that knowledge into new systems that will keep U.S. troops safer, at lower cost” https://t.co/9XOhTDhkLV",1,1,0,E,
60,227,795483650,1.40E+18,"""As troops are withdrawn, our intention is to stay. Our policy has not changed, our mission hasn't changed, our commitment to the Afghan people has not changed."" - @tomas_niklasson , Acting EU Special Envoy for Afghanistan addressing the @Europarl_EN . 

@EP_ForeignAff https://t.co/E1u8uDUGUP",93,6,22,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
68,284,2574426653,1.39E+18,"I just saw terrible news coming from Afghanistan, &amp; I'm falling short of words because no words can explain the pain one can feel. How much longer, &amp; how much more blood they (murderous dogs) want to see shed before they stop killing innocent people? #AfghanistanWeStandWithYou",2,1,3,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
82,338,1.25E+18,1.39E+18,"They were waiting to celebrate Eid at the end of the holy month of Ramadan with their families, but they were martyred🇦|regional indicator f|🇦|regional indicator f|.

#ایران_غم_شریک_افغانستان 
#Afghanistan",13,1,5,E,
83,339,1.25E+18,1.39E+18,"How can I be happy and full sv glad when my syster and brother in Quds _Aqsa and Afghanistan have sorrow.
#Afghanistan https://t.co/HbbLps9eIn",47,2,8,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
87,348,2156550649,1.39E+18,"Please stop the terror in Palestine and Afghanistan! 

#FreePalestine",6,1,0,E,
,,,,,,,,,
,,,,,,,,,
90,6,1.20E+18,1.40E+18,"The whole world is silent on the terrorist activities of  pakistani Army. Pakistani Army trains Talibans and send them Afghanistan for terrorism.
@NATO @NATOscr
#PakMustStopProxyWarInAfg https://t.co/s1dmEz40pX",10,2,10,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
101,60,1.39E+18,1.41E+18,A “Never Again” moment is in the making in Afghanistan. @mattczeller explains the moral obligation America has to evacuate its #Afghan wartime allies before it’s too late. #OurFriendsAreDying #SaveOurAllies #KeepOurPromise #GetThemToGuam #GuamOption https://t.co/7hEuwoRwMb,84,12,34,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
107,113,2763536479,1.41E+18,"#Decentralisation4Afghanistan
This is one of clear example of discrimination that there no any Hazara in Afghanistan government delegation to the United States https://t.co/smBQeccSX6",19,2,12,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
122,180,8.55E+17,1.41E+18,"Although European members of NATO invoked article 5 &amp; considered the Sept. 11 attack as attack against all of them, due to lack of bureaucratic authority and technical knowledge, NATO as an international organization failed in its mission in Afghanistan. https://t.co/TT7DpdoxtU",5,2,2,E,
123,190,1.31E+18,1.40E+18,"WTF were we even DOING in Iraq and Afghanistan?

Honestly, can someone tell me?",6,2,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
132,232,89669859,1.41E+18,"Pakistan’s backing for the terror in Afghanistan is no more a secrete. Pakistani government is proud of the proxy war in Afghanistan. Pakistani PM and cabinet ministers openly talk in the media about it but the whole world and @UN is silent about it. Why?

#SanctionPakistan",275,23,87,E,
,,,,,,,,,
134,237,74964902,1.41E+18,"""The Taliban is like the proverbial dog that caught the car. It has achieved its dream of forcing American withdrawal, but now what? Afghanistan is a much more urban &amp; modern nation than when the Taliban were driven from power 20 years ago."" @IgnatiusPost https://t.co/ez11HOFVnx",8,1,3,E,
135,241,616110173,1.40E+18,"What percentage of a country's population do you think would be acceptable to die in a fight to remove the Taliban from control and reestablish freedom, including the freedom to walk around with your face uncovered? #COVID19",0,1,0,E,It is related but see the #tag
,,,,,,,,,
,,,,,,,,,
138,250,4649941693,1.40E+18,"Members of the Australian special forces community are now speaking publicly about the need to bring our interpreters and other LECs home from Afghanistan. |flag for Australia|🇦|regional indicator f|

Time to repay our brothers in arms https://t.co/XIJBqYuicF via @AusOpinion",24,2,18,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
147,288,1.40E+18,1.40E+18,"It has been 20 years since the Taliban destroyed Afghanistan's infrastructure.
#TalibanMercenariesOfPAKArmy https://t.co/yQ269WP6VI",7,1,2,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
151,320,19031057,1.41E+18,"'THEY HAVE FAILED': Afghanistan’s former president said Sunday the United States came to his country to fight extremism and bring stability to his war-tortured nation and is leaving nearly 20 years later having failed at both
https://t.co/q67mCYc0F1",2,5,3,E,
,,,,,,,,,
153,325,7.12E+17,1.41E+18,"#Gravitas | @ImranKhanPTI and @SMQureshiPTI have exposed the true face of #Pakistan.
The leaders believe:
+Osama Bin Laden was a martyr.
+Taliban shouldn't be blamed for violence in Afghanistan.
+China's genocide against Muslims can be ignored.
@palkisu tells you more. https://t.co/hKg4GAvNoI",178,10,64,E,what should we do?
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
158,359,412743346,1.41E+18,20 years of blood and money to watch a nation collapse as soon as we leave. All those infrastructure projects for the people will become property of the Taliban. Apparently we forgot all the lessons of Vietnam and killed a lot of Americans along the way.  https://t.co/QVYUBwuRlG,5,1,1,E,
,,,,,,,,,
,,,,,,,,,
161,409,4895959581,1.41E+18,"Biden says you need F-15s and nuclear bombs to take on the government, while in the process of surrendering to the Taliban who have neither.",32,3,6,E,Because it�s a prophecy of biden. 
162,412,8.11E+17,1.41E+18,"This is great news!

That said, most Afghans threatened by the Taliban will either not qualify for this evacuation, or don’t want to leave.

The only way to protect them is to help the Afghan government survive, and the administration must do more there.

https://t.co/jBDX9V8gk8",27,3,9,E,
163,415,1.06E+18,1.41E+18,Anti-Taliban militiamen look like they go real fucking hard https://t.co/rLo2YLgEUj,3,1,0,E,
,,,,,,,,,
,,,,,,,,,
166,426,1.33E+18,1.40E+18,"37 attacks in the past 7 years in Afghanistan on Hazara: 
۱۱۶۷ کشته
۱۸۸۴ زخمی

#StopHazaraGenocide https://t.co/n7Gr4TkYpn",93,7,60,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
177,46,7.20E+17,1.42E+18,"Yikes. I’m mostly anti-military, but I dunno, this seems like a huge mistake—our pulling out. I keep thinking of those Afghan women &amp; girls.

Afghanistan withdrawal: Insider attacks killed dozens of Afghan troops as U.S. forces pulled out, IG says  https://t.co/PlySZ5v51D",2,4,1,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
182,60,250246659,1.42E+18,"Every death is sad but I am not surprised that all those tweeting here questioning PM &amp; others on Photo journalist's killing themselves wont utter a word against Taliban -responsible for his killing ar what taliban doing there ! 
@PMOIndia @DrSJaishankar @Pushpendraamu @BJP4India",36,1,8,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
187,73,1.12E+18,1.42E+18,"Taliban released statement and felt sorry for Danish Siddique's tragic death.
This shows that they have decency which Narendra Modi don't.",28,2,2,E,
,,,,,,,,,
,,,,,,,,,
190,88,26458435,1.41E+18,"Post editorial: The looming disaster in Afghanistan with U.S. withdrawal, wiping away two decades of effort to build government and military.  https://t.co/TRm848UySj",5,1,4,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
201,122,167291755,1.42E+18,"Eid Mubarak to all those celebrating today, but my thoughts are particularly with dear friends in Afghanistan, for whom it feels like there is little to celebrate and the hope of peace is as distant as ever. 

#eidmubarak #hope #peace #love #afghanistan #conflict https://t.co/oQjj4T0pa9",5,1,1,E,
,,,,,,,,,
203,127,1.04E+18,1.42E+18,"Regardless of our criticism of failures &amp; corruption of Gov't in #Afghanistan, we want to emphasize that we condemn today's rocket attacks on @ARG_AFG as leaders of AFG performed #EidAlAdha prayers

We urge all sides to work for peace &amp; renounce violence

https://t.co/mZeQb2SDek",7,1,4,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
207,150,1.33E+18,1.42E+18,What is China doing meeting with the Taliban? | REACTION https://t.co/Yts37tVDpj via @YouTube,0,1,0,E,
208,155,51228911,1.42E+18,"We MUST continue to aid our Afghan interpreters &amp; allies.
 
I have supported their safe arrival to the US &amp; will continue to fight to ensure those who assisted US troops in Afghanistan are NOT abandoned.  https://t.co/eisnDE8JGg",6,2,1,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
213,170,4288324559,1.42E+18,Is it worth our lives to stay in Afghanistan?,1,3,0,E,
,,,,,,,,,
,,,,,,,,,
216,178,9.58E+17,1.42E+18,"The goal of #Taliban war!

They burn and destroy people's houses, kill #civilians and force them to leave their area. 
Picture of an old #mother fleeing #Kandahar... https://t.co/YbacqsuatK",279,11,57,E,Its an opinion. What category it should be?
,,,,,,,,,
218,198,1661531,1.42E+18,"And the Taliban with the Buddhas of Bamiyan. 

When Israel does the same crimes, nothing. https://t.co/b5qy17tQUp https://t.co/ECrMaCmtmJ",3,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
227,229,4241743157,1.42E+18,"Here’s the question for all the #Afghan leadership accusing #Pakistan of supporting the #Taliban. 

Why did Afghan intelligence have so much #Pakistani currency in their posts?

We believe that it was being used to sponsor #terrorism &amp; #insurgencies on our side of the border. https://t.co/wkNEX1Sfbr",34,1,14,E,
,,,,,,,,,
229,231,130617778,1.42E+18,Fool who fucked up Afghanistan 19 years ago wants to tell you a think https://t.co/yfvnQCMfaw,875,99,185,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
234,245,131271607,1.42E+18,yeah West causes it and now it's Afghanistan's problem. pfft typical Western comment https://t.co/0SG0XgB3CL,0,1,0,E,SARCASTIC
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
240,313,1148699804,1.41E+18,"When asked about Afghanistan, Biden said he just wanted to talk about “happy things” and “celebrate the holiday weekend”. Yea, I bet all the people we’ve murdered there just wanted to be left the fuck alone to experience happy things &amp; celebrate holidays. Fucking prick.",7,2,1,E,
241,327,1.21E+18,1.41E+18,"Twitter is full of negative news, makes one frustrated about Afghanistan.",10,2,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
249,380,50415411,1.41E+18,Biden says “It’s up to Afghanistan what kind of country they want.” Women have no rights in Afghanistan. Infant mortality rate to the age of five is 25%. It’s up to what people? He might as well say it’s up to the terrorists!,3,1,0,E,
,,,,,,,,,
251,401,1.18E+18,1.41E+18,"My only wish nowadays, no more war in Afghanistan
Nor jangona na ghwari Afghanan.|sob|",43,1,6,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
255,411,2391585170,1.41E+18,Taliban gaining control in Afghanistan is very worrying.,1,2,1,E,
256,413,1.15E+18,1.41E+18,Absolutely dystopian that we closed the largest military base in Afghanistan and they’re writing article about the PokémonGo gyms on the base |joy|😂 https://t.co/hlFMbqRYVR,2,2,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
261,457,1.34E+18,1.41E+18,#Afghanistan may again dip into the deep darkness unless world leaders action swiftly. The situation is worrisome. Feeling pity for the people of the #Afganistan. @MEAIndia  @narendramodi  @POTUS @KremlinRussia_E @10DowningStreet @GermanyDiplo,1,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
275,537,226232986,1.42E+18,"The United Nations, Europe USA and India are urged to take immediate steps to save the lives of Afghan poets, writers, intellectuals, journalists women comedians &amp; Artists from the fascism &amp; brutality of the Taliban terrorists.
@UNGeneva @POTUS #India #Afghanistan @GermanyDiplo",44,7,12,E,
,,,,,,,,,
277,558,8.18E+17,1.41E+18,Shame on you Supporter Taliban https://t.co/i7n6RqJizA,5,1,3,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
281,585,522151907,1.42E+18,"‘We tried to be joyful enough to deserve our new lives’: What it’s really like to be a refugee in Britain | Afghanistan |beautifully written echoing thoughts, feelings &amp; realities of all of us who have been uprooted, thank you ⁦@ZarlashtH⁩  https://t.co/hMHtLE5JHl",71,6,13,E,
282,593,18170845,1.42E+18,"SecDef: ""The Taliban early on committed to not providing a safe haven for al-Qaeda. We expect for them to meet that commitment. If they want legitimacy going forward I think that's something theyll have to consider. That's one way to earn it."" The Taliban can earn legitimacy? LOL",116,6,17,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
288,636,19130800,1.42E+18,The Taliban is not #humane https://t.co/EoxBlNOWcw,4,1,3,E,
,,,,,,,,,
,,,,,,,,,
291,654,867626347,1.41E+18,#LifeUndrControlOfTaliban is no better than hell. Those promoting #Taliban from #Pakistan must promote TTP here as it is a child of #Afghan Taliban. Promoting Taliban while disapproving #TTP in Pakistan is nothing but hypocrisy and Afghan enmity. Shame on terror sympathisers.,2,1,2,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
301,673,471547670,1.41E+18,"This will come back to haunt him

“Biden says Taliban takeover 'highly unlikely'”
https://t.co/vUOT9wNkcC",7,8,0,E,
302,677,213713264,1.41E+18,I wonder if #JoeBiden is protesting too much when he insists that Afghanistan will be nothing like Vietnam: https://t.co/HZgiLj6738,0,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
310,711,2369231540,1.41E+18,"It's so troubling to see how the state is again trying to promote the good taliban, bad taliban narrative. We literally fought a war with them for 10+ years and lost 70,000+ people.
To add to this, the TTP is a Deoband/Wahabi group",29,2,1,E,
311,718,1.14E+18,1.41E+18,"Taliban collects all terrorists to their terroristical orbit. They have nothing other than plotting bombs and killing Afghans. 

They can never detach themselves from wrecking Afghanistan. 

Taliban are terrorists",8,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
315,749,169041512,1.42E+18,"Morons, Indian RW didn't kill the Siddiqui. Taliban did. If mocking someone's death (highly condemnable) is killing them, then you people have killed thousands of soldiers &amp; many others!

PS. While you people celebrate the murderers, I haven't seen RW celebrating Taliban.",5,1,1,E,
,,,,,,,,,
317,752,397220722,1.42E+18,"To all assholes and Sanghi cowards on my timeline rejoicing #DanishSiddiqui 's death. Just as he showed the truth about dead bodies during Covid 2nd wave, he went to Afganistan to capture Islamist terror. He was neither frightened of Sanghis nor Taliban. So shut the fuck up!",2,1,0,E,
318,756,277587469,1.42E+18,"Honestly if the Afghan security forces don't feel like fighting (with some exceptions obviously) I might as well stop counting. Even my PC can't handle the amount of vehicles and equipment surrendered to the Taliban.

This makes the Nagorno-Karabakh list look easy.",149,6,14,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
323,772,1.31E+18,1.42E+18,"pultizer award winner, Reuters journalist #DanishSiddique on Feb 2020 !

""I'll try my best ""to record"" and bring them to you"" !
 
Big loss for democracy and it's a celebration for RW Taliban !|man facepalming light skin tone| https://t.co/hSb1Wns6Oe",69,5,52,E,
,,,,,,,,,
,,,,,,,,,
326,785,1.31E+18,1.42E+18,It surprises me that US having been in Afghanistan for 20 years couldn't cut supply of weapons and money to Taliban. On-ground intelligence - failure. They couldn't train Afghan Army to fight decidedly against #Taliban . What the hell were they even doing there for so long,0,1,0,E,
,,,,,,,,,
328,802,242179803,1.42E+18,"Pakistan govt is behaving as if Taliban were already in govt; said we have changed, but Taliban is still its tool for strategic depth; I’m confident Taliban cannot rule Afghanistan, but it can destroy it said @a_siab 
@Natrani @Peymasad @Gulalai_Ismail 
https://t.co/huZLMrgD5A https://t.co/ODGccwshf0",20,14,6,E,
,,,,,,,,,
330,812,1.34E+18,1.41E+18,"The United States, which calls itself a superpower, is running away from Afghanistan like a dog today, as well as the Indian Army.
The superpower is simply my God https://t.co/jdHTffIPRp",27,2,5,E,
331,813,1.26E+18,1.41E+18,"Thank you, Joe Biden, for fullfilling TRUMP's promise to bring our troops home 
from 20 years of war in Afghanistan!",1,1,0,E,
332,814,15606540,1.41E+18,"#TakeThemToo Thank you to every Congress member in this PSA, and who served in Afghanistan. You are among our best and brightest; you did and do the hard work of government. This message is critical - we must especially help those who are in danger, and who need us NOW.",15,2,5,E,
333,816,434325033,1.41E+18,"InshaAllah, there will be peace in Afghanistan &amp; there won’t be any refugees, but Allah forbid, if it does happen, Imran Khan will never seal the border &amp; leave our Afghan bros.
He will help Afghani refugees with good management while preserving Pakistan’s interests.
InshaAllah",10,4,1,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
337,847,8.78E+17,1.41E+18,"This is completely wrong for several reasons.

There will be destabilization when we leave Afghanistan due to the power vacuum. But according to former president Karzai, that destabilization cannot get any worse than what the continued US occupation has brought to Afghanistan. https://t.co/hEBJaW70EQ",21,2,0,E,
,,,,,,,,,
339,851,13410,1.41E+18,Our military spent 20 years of our blood and treasure to prepare Afghanistan… which is now collapsing within days. What an utterly embarrassing failure that cost unimaginable death and destruction. Fire the  ⁦@DeptofDefense⁩ and #defundthemilitary.  https://t.co/uKGprBpvjO,12,4,5,E,
,,,,,,,,,
,,,,,,,,,
342,861,9.61E+17,1.42E+18,"International media— give me a break please &amp; stop using words like “collapsing Afghanistan” to bring more traffic to your website/coverage.
Our miseries shouldn’t be used to feed content.",176,6,37,E,
,,,,,,,,,
,,,,,,,,,
345,872,1479493183,1.42E+18,"It's apparent Afghanistan has become @POTUS Biden's first major foreign policy blunder--and he's only halfway through his first year.

My heart goes out to all US troops who were either killed or injured in successful efforts at keeping the Taliban at bay.https://t.co/75t43hO4WM",7,1,5,E,
,,,,,,,,,
,,,,,,,,,
348,43,8.26E+17,1.42E+18,"Afghanistan... Its not 'just' interpreters that are in mortal danger.

Anyone who had links with the coalition/allies is a potential target.

My friend was a (Afghan civilian) driver for the US army...he fled after his best mate turned up, in a bin bag, on his doorstep.

FFS",54,1,25,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
357,86,1.28E+18,1.42E+18,"""I am going to invade Afghanistan""

""Because of 9/11 right?""

""...""

""Because of 9/11 right?"" https://t.co/aDiKMx4kdc",29,2,3,E,
,,,,,,,,,
,,,,,,,,,
360,92,2205083047,1.42E+18,Pakistan runs a Proxy-war in Afghanistan. The international community should take action against this hostile and terrorist breeder state. #SanctionPakistan #SanctionTaliban https://t.co/lP6Awewjpi,2,1,3,E,
,,,,,,,,,
,,,,,,,,,
363,102,1.18E+18,1.42E+18,This is whats happening to our childs at the moment you see this pic. Pakistan is carrying its Proxy war in Afghanistan by using their militants #Talibans. They kill hundreds of innocent people every day. Please support the humanity by tweeting the trend #SanctionPakistan https://t.co/x4eQ1XGZiM,5,3,0,E,
,,,,,,,,,
,,,,,,,,,
366,121,1.10E+18,1.43E+18,"To all those ""brave souls"" on SM who are preaching over fallout of Taliban resurgence over Kashmir situation.

My sincere request. Please go to Afghanistan &amp; fight for 1 month.

Then come &amp; preach to us citing someone else's experience as a yardstick.

Regards
An amused veteran",27,2,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
371,137,2490427410,1.43E+18,"Anyone saying ""I support the withdrawal from Afghanistan, just no this withdrawal"" is a liar who shouldn't be taken seriously. 

There was no way for the deeply unpopular, incompetent and corrupt Afghan ""national"" government to exist without direct US occupation.",112,18,4,E,
,,,,,,,,,
373,141,3059118880,1.43E+18,"“They literally sold us out, there was no government resistance,” one female resident of Kandahar about the Taliban advance. #Afghanistan  https://t.co/KMSyrWBU71",7,1,5,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
390,201,2168005061,1.43E+18,"Why are we not standing with #Afganistan?

Why is there silence as the Taliban swarms across much of the North of the country?

No concern now for the rights of women and children. The selective outrage tells the story of the deep hypocrisy of nations and govts.

#Mazar_e_Sharif",48,4,10,E,
391,204,8.67E+17,1.43E+18,"On paper, the Afghan security forces had 300,000 men, and this is not even including all the policemen and local tribal militias (many of whom also existed on paper only). The Taliban was estimated  to number around 50, 60 thousand rag-tag fighters. 

Kind of goes to show how",33,3,4,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
401,246,243566962,1.43E+18,"Cities are not falling. They are being gifted. 
#Afghanistan 
#War",209,7,40,E,
,,,,,,,,,
403,254,7.22E+17,1.43E+18,"Lots of armchair quarterbacks, from both sides of the aisle, on the withdrawal from Afghanistan. 

Where were all these brilliant military and diplomatic tacticians ten years ago?",4,1,0,E,
404,258,1887588084,1.43E+18,How can some fight on the fringes against perceived inequality in the United States but turn their back to fundamental human and women’s rights in Afghanistan?,0,1,0,E,
,,,,,,,,,
,,,,,,,,,
407,262,1.21E+18,1.43E+18,"Morrison should send OUR jet to Afghanistan and start Airlifting
AFGHANIS to Safety.
It's Our jet, get it working.😡",29,2,9,E,
408,263,1215388154,1.43E+18,Cannot imagine the pain and frustration of defence personnel who served in Afghanistan. Watching what they've fought for for so long slip away #insiders,5,1,1,E,
,,,,,,,,,
410,270,1.27E+18,1.43E+18,"Does an ‘Afghan Army’ even exist? I’ve seen nothing but footage of the Taliban rolling into towns and claiming victory, seemingly without firing a bullet. Has anyone seen any sort of resistance going on?",3,3,0,E,
411,276,38528124,1.43E+18,"The abandonment of Afghanistan is unnecessary. If you’re going to have the US military all over the world, there’s no reason not to have a small force directing airstrikes that defend a safe haven in the capital. A thread about American power 1/x

https://t.co/UKGmtIlHfb",5,4,0,E,
412,277,1.29E+18,1.43E+18,Biden has made a huge mess for Afghanistan and our nations reputation. The hasty withdrawal has left Kabul unprotected. Biden knew the Taliban had taken most of the country &amp; would  commit horrible tortures for the people who have a weak government. https://t.co/34tBdT0Exg,0,2,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
416,288,1077970982,1.43E+18,"While @KamalaHarris and @JoeBiden are hiding from their payoffs, of land and our arsenal to the Taliban, Afghani women and girls are being raped while having their eyes gouged out, by these heathens. I pray God strikes you both down, to the pits of hell from which you came. https://t.co/PKSDfng8R6",8,2,5,E,
,,,,,,,,,
